PID,Date,Time,IP Address,Port,Username,Scenario,Details
1080082,May  6,12:36:13,NULL,NULL,NULL,Connection closed,IP
1082495,May  6,12:55:28,NULL,NULL,NULL,Connection closed,IP
1091537,May  6,14:08:08,192.155.90.118,32242,NULL,Connection closed,IP
1091539,May  6,14:08:10,192.155.90.118,32244,NULL,Connection closed,IP
1091552,May  6,14:08:12,192.155.90.118,48810,NULL,Connection closed,IP
1095016,May  6,14:35:47,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1095017,May  6,14:35:47,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1099567,May  6,15:12:06,NULL,NULL,NULL,Connection closed,IP
1105817,May  6,16:02:05,NULL,NULL,NULL,Connection closed,IP
1108609,May  6,16:24:39,176.215.1.191,36442,NULL,Connection closed,IP
1132841,May  6,19:38:37,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1134076,May  6,19:48:25,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
1165047,May  6,23:55:23,NULL,NULL,NULL,Connection closed,IP
1169272,May  7,00:28:53,NULL,NULL,NULL,banner line contains invalid characters,NULL
1169773,May  7,00:32:53,64.62.156.216,44363,64.62.156.216,Connection closed,invalid user
1173147,May  7,00:59:42,192.241.155.120,27711,NULL,Connection reset,IP
1174884,May  7,01:13:39,NULL,NULL,NULL,Connection closed,IP
1179260,May  7,01:48:27,NULL,NULL,NULL,Connection closed,IP
1180639,May  7,01:59:24,NULL,NULL,NULL,banner line contains invalid characters,NULL
1181716,May  7,02:08:03,NULL,NULL,NULL,banner line contains invalid characters,NULL
1181962,May  7,02:09:59,45.33.80.243,53082,NULL,Connection closed,IP
1181964,May  7,02:10:01,45.33.80.243,53090,NULL,Connection closed,IP
1181977,May  7,02:10:03,45.33.80.243,53104,NULL,Connection closed,IP
1182122,May  7,02:11:14,172.236.228.224,5780,NULL,Connection closed,IP
1182133,May  7,02:11:16,172.236.228.224,5792,NULL,Connection closed,IP
1182135,May  7,02:11:18,172.236.228.224,5796,NULL,Connection closed,IP
1186913,May  7,02:49:33,206.168.34.63,49106,NULL,Connection closed,IP
1189274,May  7,03:08:02,NULL,NULL,NULL,Connection closed,IP
1193168,May  7,03:39:18,167.94.138.170,54350,NULL,Connection closed,IP
1201790,May  7,04:47:41,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
1210718,May  7,05:58:57,20.65.195.56,40416,NULL,Connection closed,IP
1213435,May  7,06:20:25,NULL,NULL,NULL,Connection closed,IP
1227140,May  7,08:09:05,45.79.181.94,53988,NULL,Connection closed,IP
1227142,May  7,08:09:07,45.79.181.94,53998,NULL,Connection closed,IP
1227155,May  7,08:09:09,45.79.181.94,48742,NULL,Connection closed,IP
1250501,May  7,11:15:28,167.94.138.194,51172,NULL,Connection closed,IP
