PID,Date,Time,IP Address,Port,Username,Scenario,Details,Source
1505573,Apr 15,16:25:47,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1509904,Apr 15,17:00:25,139.19.117.131,43532.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1511726,Apr 15,17:15:01,NULL,NULL,NULL,Connection closed,IP,NULL
1516857,Apr 15,17:56:00,139.19.117.131,46050.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1518181,Apr 15,18:06:27,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1524391,Apr 15,18:56:02,139.19.117.131,57842.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1525366,Apr 15,19:03:52,NULL,NULL,NULL,Connection closed,IP,NULL
1526422,Apr 15,19:12:15,NULL,NULL,NULL,Connection reset,IP,NULL
1531727,Apr 15,19:54:37,54.193.68.101,47318.0,NULL,Connection closed,IP,"United States, California, San Jose, Amazon.com, Inc."
1531741,Apr 15,19:54:39,NULL,NULL,NULL,NULL,NULL,NULL
1531729,Apr 15,19:54:39,54.193.68.101,47332.0,NULL,Connection closed,IP,"United States, California, San Jose, Amazon.com, Inc."
1531743,Apr 15,19:54:40,NULL,NULL,NULL,NULL,NULL,NULL
1531745,Apr 15,19:54:41,54.193.68.101,47362.0,NULL,Connection closed,IP,"United States, California, San Jose, Amazon.com, Inc."
1531747,Apr 15,19:54:42,54.193.68.101,47368.0,NULL,Connection closed,IP,"United States, California, San Jose, Amazon.com, Inc."
1531749,Apr 15,19:54:42,54.193.68.101,54090.0,NULL,Connection closed,IP,"United States, California, San Jose, Amazon.com, Inc."
1531751,Apr 15,19:54:43,NULL,NULL,NULL,NULL,NULL,NULL
1531931,Apr 15,19:56:05,139.19.117.131,35240.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1533451,Apr 15,20:08:09,66.175.213.4,40232.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies, Inc."
